,gddid,true_false,should_coords?,title,Notes,no?,yes?,maybe?,,Summary of papers w/ IRD found,n,%
29,55068ba0e1382326932d91b2,FALSE,maybe,"The Taimyr Peninsula and the Severnaya Zemlya archipelago, Arctic Russia: a synthesis of glacial history and palaeo-environmental change during the Last Glacial cycle (MIS 5eäóñ2)","Paper does have info about timing of IRD, but coordinates for the cores are embedded in the figures…",0,0,1,,,,
30,5506bbd2e1382326932d928b,FALSE,maybe,An Arctic perspective on dating Mid-Late Pleistocene environmental history,Mentions results from their cores that correlate to IRD events.,0,0,1,,,,
31,55071018e1382326932d93f5,FALSE,maybe,Hydrological instability during the Last Interglacial in central Asia: a new diatom oxygen isotope record from Lake Baikal,"Again, mentions IRD, but doesn't have the original core data.",0,0,1,,,,
32,55073f16e1382326932d94a3,FALSE,no,"The SvalbardäóñBarents Sea ice-sheet äóñ Historical, current and future perspectives",IRD mentioned a proposed mechanism.,1,0,0,,,,
33,55075de2e1382326932d9538,FALSE,maybe,Quaternary glaciations of northern Europe,"IRD mentioned throughout in the context of past glaciations. It's a review paper, so no coordinate information.",0,0,1,,,,
34,55076bcee1382326932d9560,FALSE,yes,Ice-rafting from the BritishäóñIrish ice sheet since the earliest Pleistocene (2.6 million years ago): implications for long-term mid-latitudinal ice-sheet growth in the North Atlantic region,"Mentions a core site, but no coordinates. Covers IRD extensively, so if we should obtain IODP cores and coordinates.",0,1,0,,,,
35,55077b64e1382326932d95ab,FALSE,maybe,Response of the Irish Ice Sheet to abrupt climate change during the last deglaciation,IRD mentioned but points to other references and contains no coordinate information. ,0,0,1,,,,
36,55193dd9e1382394b500df01,FALSE,no,Long-term tropical morphogenesis of New Caledonia (Southwest Pacific): Importance of positive epeirogeny and climate change,IRD appears in the word 'third'. ,1,0,0,,,,
37,55774781e138234790a015c4,FALSE,yes,Transport of terrestrial organic matter to the deep North Atlantic Ocean by ice rafting,We should get this paper. Coordinates show up as 52.5 °N and 22.1 °W. ,0,1,0,,,,
38,55bbc758e1382373b63b8eba,TRUE,no,Biomarker evidence for äóìHeinrichäóù events,We get this paper.,1,0,0,,,,
39,55c8666acf58f1a8110ba4e6,TRUE,no,Tracing tropical Andean glaciers over space and time: Some lessons and transdisciplinary implications,We get this paper.,1,0,0,,,,
40,55c8ff87cf58f1a8110ba771,FALSE,yes,Marine ice-rafted debris records constrain maximum extent of Saalian and Weichselian ice-sheets along the northern Eurasian margin,We should get this paper as well. Has several cores and IRD info but coordinates appear like this in a Table (81°32.1N; 30°34.0E),0,1,0,,,,
41,55d0f741cf58f1b3b25e3501,FALSE,yes,Radiogenic Nd isotope labeling of the northern NE Atlantic during MIS 2,Has coordinates. Need to update the regex to capture them. ,0,1,0,,,,
